province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16485787,8156396,8329391,5.7,6.1,5.9,6.1,6,27.5,27.6,11.2,3.8,80.1,19.9,9,11,11.2,8.1,42396,38897,13962,5618,33362,168389,200375,62204,30262,29.6,37.6,21,1456400,1399750,45330
Groningen,574092,284981,289111,5,5.5,5.5,6.3,8.2,26.7,27.3,11.2,4.2,87.4,12.6,7,5.6,10.3,9.1,1605,1530,501,240,1355,5280,7670,3256,1994,26.6,32.7,19.8,59610,58800,820
Friesland,644811,322015,322796,5.7,6.4,6.2,6.3,5.7,25.8,27.9,11.9,4.1,91.7,8.3,4.8,3.5,11,8.7,1748,1724,513,194,1445,7166,9536,2430,207,26.2,33.1,18.5,55280,54630,650
Drenthe,489918,242071,247847,5.4,6.3,6.2,5.8,4.7,24.8,29.4,12.9,4.4,91.3,8.7,5.6,3.1,10.2,9.2,1447,1303,477,180,1117,5203,6687,1169,124,26.9,34.3,18.9,46690,46220,470
Overijssel,1125435,562419,563016,6.1,6.6,6.2,6.3,6.1,27.1,26.4,11.3,3.7,85.9,14.1,7,7.1,11.8,8.2,2863,2771,1066,379,2172,12240,16518,4673,1166,26.8,34.1,18.6,100210,97640,2570
Flevoland,383449,191912,191537,7,7.5,7.2,7.1,6.3,29.5,26,7.1,2.2,73.6,26.4,8.2,18.2,13.7,5.3,738,525,199,93,470,4644,5868,1224,238,29.8,37.7,21.2,34470,33450,1030
Gelderland,1991062,982641,1008421,5.6,6.4,6.2,6.3,5.8,26.4,28,11.5,3.8,86,14,7.6,6.4,10.7,8.2,5246,4682,1890,622,3960,21569,25118,6767,3344,28.7,36.7,19.9,159390,155730,3660
Utrecht,1210869,591859,619010,6.4,6.5,5.9,6.1,6.7,29.3,25.8,9.7,3.5,80.1,19.9,8.3,11.6,12.7,7.1,2669,2384,896,400,2237,11716,11765,5136,3641,33.2,42.3,23.8,90250,86910,3340
Noord-Holland,2646445,1301903,1344542,5.8,6,5.6,5.7,5.9,29.3,27.3,10.5,3.8,72.5,27.5,10.9,16.6,11.8,7.8,6565,5788,2064,1041,5390,24752,27557,9170,5721,32.2,40.2,23.7,243830,234060,9770
Zuid-Holland ,3481558,1716204,1765354,5.8,6,5.9,6.2,6.4,28.3,26.9,10.6,4,72.7,27.3,9.6,17.7,11.8,8.2,8954,8063,2905,1162,7411,34414,38044,12309,7251,31,39.4,22,289860,274870,14990
Zeeland,380984,188965,192019,5.2,6,6.2,5.9,5,24.8,28.9,13,5,84.7,15.3,10.6,4.7,9.8,9.2,1118,1039,281,143,920,4232,4980,916,95,27.8,36.1,18.5,27090,26490,600
Noord-Brabant,2434560,1215158,1219402,5.4,6,6,6.1,5.8,27,28.3,11.8,3.5,84.3,15.7,8.1,7.6,10.5,7.9,6300,5729,2092,771,4392,25626,30620,9065,3076,29.2,37.5,20,199430,194380,5050
Limburg,1122604,556268,566336,4.4,5.3,5.6,6,5.5,24.7,30.8,13.5,4.1,80.3,19.7,14.3,5.4,8.7,9.3,3143,3359,1078,393,2493,11011,14712,3678,1256,26.7,33.8,19,121350,119050,2300
