province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW,
Nederland,16655799,8243482,8412317,5.5,5.9,6,6,6.2,26.6,28.1,11.6,4,79.4,20.6,9.2,11.4,10.8,8.1,44038,38132,13317,5845,34409,165473,179189,65089,37735,30.4,38.2,22.1,1498070,1439870,48300,48300
Groningen,579036,287924,291112,5,5.3,5.5,6.3,8.6,25.8,27.6,11.7,4.3,86.8,13.2,7.2,6,10.1,9.1,1656,1550,468,217,1358,5113,6346,3337,2321,27.5,33.4,21,61110,60290,830,830
Friesland,647282,323439,323843,5.5,6.2,6.3,6.2,5.8,24.8,28.3,12.6,4.3,91.4,8.6,4.9,3.7,10.3,8.7,1794,1705,481,246,1380,6948,8001,2506,319,26.7,33.3,19.5,58070,57440,640,640
Drenthe,491411,243084,248327,5.2,6.1,6.4,5.8,4.7,23.7,30,13.5,4.7,91,9,5.6,3.3,9.4,9.5,1467,1365,446,195,1194,5356,5853,1230,192,27.7,35.1,19.9,47190,46730,450,450
Overijssel,1134465,566903,567562,5.9,6.4,6.4,6.2,6.2,26.2,27,11.6,4,85.7,14.3,7,7.3,11.1,8.1,3003,2541,1072,367,2252,11836,14776,4786,1307,27.6,34.8,19.7,101420,98760,2660,2660
Flevoland,391967,196064,195903,6.8,7.3,7.2,7,6.3,28.5,27.1,7.5,2.3,72.7,27.3,8.3,19,12.9,5.5,754,603,193,91,531,4450,5560,1259,299,30.5,38.1,22.3,37360,36260,1100,1100
Gelderland,2004671,989383,1015288,5.4,6.1,6.3,6.3,6,25.3,28.6,11.9,4,85.8,14.2,7.6,6.6,10.2,8.3,5347,4740,1723,665,4100,21044,21960,7232,3870,29.4,37.3,21,163780,159950,3840,3840
Utrecht,1228794,600525,628269,6.3,6.4,6,6,6.8,28.4,26.5,10,3.6,79.6,20.4,8.5,11.9,12,7.2,2916,2314,905,394,2309,11915,11596,5450,4109,34,42.7,25.1,93960,90370,3590,3590
Noord-Holland,2691477,1324310,1367167,5.7,5.8,5.7,5.7,6.2,28.4,27.8,10.8,3.9,71.7,28.3,11.2,17.1,11.2,7.8,6705,5887,1884,1029,5596,24221,25114,9708,8124,32.8,40.6,24.7,252190,241460,10730,10730
Zuid-Holland ,3528324,1740855,1787469,5.8,5.8,5.8,6.1,6.5,27.6,27.4,10.8,4.1,71.7,28.3,9.9,18.4,11.7,8,9204,7813,2789,1166,7439,33679,36298,12116,9068,31.7,39.9,23.1,308050,291910,16140,16140
Zeeland,381530,189184,192346,5,5.7,6.2,5.8,5,23.9,29.2,13.7,5.3,84.3,15.7,10.8,4.9,9.9,9.6,1161,1055,320,152,982,4145,4713,921,127,28.5,36.8,19.4,27270,26660,610,610
Noord-Brabant,2454215,1225173,1229042,5.3,5.8,6,6.1,5.9,26,28.8,12.3,3.8,83.8,16.2,8.3,8,10.2,8,6645,5484,2032,891,4723,25710,26276,9903,4166,30,38.1,21,201020,195750,5270,5270
Limburg,1122627,556638,565989,4.3,5,5.5,5.8,5.8,23.6,31.4,14.1,4.5,79.9,20.1,14.4,5.7,8.3,9.3,3386,3075,1004,432,2545,10711,11394,3918,2041,27.6,34.7,20.1,118750,116320,2430,2430
