province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16574989,8203476,8371513,5.6,6.1,5.9,6.1,6.1,27,27.9,11.4,3.9,79.7,20.3,9.1,11.2,11.1,8.2,43516,39009,13016,5748,34769,166647,175553,61633,33178,30.1,37.9,21.7,1482350,1426730,45580
Groningen,576668,286495,290173,5,5.4,5.5,6.3,8.4,26.2,27.5,11.5,4.2,87.1,12.9,7.1,5.8,9.9,9.2,1689,1577,458,185,1422,5165,6459,3180,2118,27.1,33.1,20.6,60540,59750,790
Friesland,646305,322911,323394,5.6,6.3,6.2,6.3,5.7,25.3,28.1,12.3,4.2,91.5,8.5,4.8,3.6,10.8,8.6,1820,1648,521,234,1365,7105,7902,2360,286,26.5,33.1,19.1,56140,55540,600
Drenthe,490981,242778,248203,5.3,6.2,6.3,5.9,4.7,24.2,29.6,13.2,4.6,91.1,8.9,5.6,3.2,9.7,9.4,1429,1362,439,191,1195,5176,5821,1159,175,27.5,34.8,19.5,47470,47040,430
Overijssel,1130345,564960,565385,6,6.6,6.3,6.3,6.2,26.7,26.7,11.5,3.8,85.8,14.2,7,7.2,11.6,8.2,2973,2692,916,376,2312,12014,13763,4570,1170,27.2,34.5,19.3,101020,98490,2530
Flevoland,387881,194185,193696,6.9,7.4,7.1,7.1,6.3,29,26.6,7.3,2.3,73.1,26.9,8.2,18.7,13.6,5.4,706,610,212,95,493,4598,5013,1198,231,30.1,37.8,21.9,36140,35100,1040
Gelderland,1998936,986919,1012017,5.5,6.3,6.2,6.4,5.9,25.8,28.3,11.7,3.9,85.8,14.2,7.6,6.6,10.6,8.4,5245,4884,1773,640,4188,21443,22085,6933,3407,29.1,37,20.6,162070,158510,3560
Utrecht,1220910,596784,624126,6.3,6.5,5.9,6.1,6.8,28.8,26.1,9.9,3.5,79.8,20.2,8.4,11.8,12.6,7.2,2854,2353,833,406,2322,11729,10868,5104,3878,33.7,42.5,24.6,91970,88570,3400
Noord-Holland,2669084,1313687,1355397,5.7,5.9,5.6,5.7,6,28.8,27.6,10.7,3.9,72.1,27.9,11,16.9,11.8,7.8,6682,5944,1813,984,5551,24552,24918,8752,7133,32.5,40.3,24.3,248470,238480,9990
Zuid-Holland ,3505611,1729071,1776540,5.8,5.9,5.8,6.2,6.4,28,27.1,10.8,4,72.2,27.8,9.7,18.1,11.8,8.2,9162,8087,2667,1242,7565,33826,34862,11694,8027,31.5,39.7,22.8,301640,286250,15390
Zeeland,381409,189184,192225,5.1,5.9,6.1,6,4.9,24.4,29.1,13.4,5.2,84.5,15.5,10.7,4.8,9.7,9.8,1133,1140,324,168,985,4050,4278,955,119,28.2,36.5,19.1,27420,26840,580
Noord-Brabant,2444158,1219904,1224254,5.3,5.9,6,6.2,5.8,26.5,28.6,12.1,3.6,84,16,8.2,7.8,10.4,8,6528,5549,1957,796,4673,25582,26638,9428,3623,29.7,37.9,20.7,201010,196000,5010
Limburg,1122701,556598,566103,4.3,5.2,5.5,5.9,5.7,24.1,31.1,13.8,4.3,80.2,19.8,14.3,5.6,8.6,9.5,3295,3163,1103,431,2698,11067,11636,3581,1579,27.3,34.4,19.6,119590,117350,2240
