province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16357992,8088514,8269478,5.9,6.1,6,6.1,5.9,28.5,26.9,10.8,3.7,80.6,19.4,8.8,10.6,11.1,8.1,40894,40849,13536,5207,32536,173150,156116,60057,28361,27.4,34.8,19.2,1354050,1303410,39600
Groningen,573614,284791,288823,5.3,5.6,5.5,6.3,7.9,27.9,26.7,10.8,4.1,87.7,12.3,6.8,5.4,9.9,8.8,1527,1619,491,198,1185,5376,5785,3004,2053,24.5,30.2,18.1,56220,55490,720
Friesland,642209,320383,321826,6,6.4,6.3,6.3,5.8,26.7,27.3,11.4,4,91.9,8.1,4.7,3.4,11,8.5,1701,1689,568,211,1279,7247,7190,2529,217,24.3,30.7,17,51150,50550,600
Drenthe,486197,240416,245781,5.7,6.4,6.2,5.9,4.7,25.9,28.7,12.4,4.2,91.4,8.6,5.5,3,10,9,1403,1340,444,155,1050,5335,5375,1105,141,25,31.9,17.3,42400,42000,400
Overijssel,1116374,557539,558835,6.4,6.5,6.3,6.3,6.1,28.1,25.8,10.9,3.5,86.1,13.9,6.9,6.9,12,8,2712,2761,977,326,2146,12562,12539,4464,1109,24.8,31.5,17.1,91790,89540,2250
Flevoland,374424,186980,187444,7.4,7.6,7.3,7.1,6.2,30.6,24.7,6.8,2.1,74.4,25.6,8.1,17.5,13.9,5.2,648,611,206,76,435,4761,4478,1308,189,27.4,34.7,19.3,30380,29480,900
Gelderland,1979059,976475,1002584,6,6.4,6.3,6.3,5.7,27.6,27.2,11,3.6,86.3,13.7,7.5,6.2,10.7,8.1,4888,5055,1757,615,3824,21859,19386,6557,3054,26.5,34,18.2,147690,144390,3300
Utrecht,1190604,581749,608855,6.6,6.4,6,6.2,6.6,30.2,25.3,9.5,3.4,80.5,19.5,8.2,11.3,12.9,6.9,2435,2521,838,346,2146,11956,9487,4811,3438,30.6,39,21.6,84970,82080,2900
Noord-Holland,2613070,1284716,1328354,6,6,5.7,5.7,5.7,30.3,26.7,10.2,3.7,73.4,26.6,10.5,16.1,11.6,8,6487,6234,1971,911,5421,25295,22092,8759,5442,29.6,37.2,21.6,230090,221410,8680
Zuid-Holland ,3455097,1701319,1753778,6,6,6,6.2,6.2,29.2,26.2,10.4,3.9,73.6,26.4,9.2,17.2,11.4,8.4,8775,8767,2911,1047,7498,35927,32510,11590,6969,28.5,36.3,20.1,270850,257920,12940
Zeeland,380497,188485,192012,5.5,6.1,6.2,5.8,5,25.7,28.3,12.5,4.9,85,15,10.4,4.6,9.9,9.3,1112,1147,301,121,864,4256,3982,884,104,25.7,33.4,16.9,25450,24910,540
Noord-Brabant,2419042,1206775,1212267,5.7,6.1,6.1,6.1,5.7,28.2,27.6,11.3,3.3,84.8,15.2,7.8,7.4,10.5,7.9,6038,5787,2081,798,4313,26368,22583,9071,2994,27,34.6,18.2,183210,178880,4330
Limburg,1127805,558886,568919,4.7,5.5,5.7,6,5.3,26.1,30,12.9,3.8,80.5,19.5,14.3,5.2,8.4,9.1,3168,3318,991,403,2375,11800,9974,3552,1322,24.8,31.6,17.3,114000,112050,1960
