Regio's;Onderwerpen;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Bevolking;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Onderwijs;Arbeid;Arbeid;Arbeid;Arbeid;Inkomen voorgaand jaar;Inkomen voorgaand jaar;Inkomen voorgaand jaar;Sociale zekerheid;Sociale zekerheid;Sociale zekerheid;Verkeer en vervoer;Verkeer en vervoer;Milieu en bodemgebruik;Milieu en bodemgebruik;Milieu en bodemgebruik;Milieu en bodemgebruik
Overijssel (PV);2006;1113529;556103;557426;6.5;6.5;6.3;6.3;6.2;28.5;25.4;10.8;3.5;86.2;13.8;6.9;6.9;0.4;0.4;0.5;3.1;2.6;12.3;8.4;112057;3619;5154;64004;28112;10746;27683;9324;12564;12410;4632;1192; ; ; ; ;24.2;30.7;16.7; ; ; ;428; ;582000;253000;40000;92000
Overijssel (PV);2007;1116374;557539;558835;6.4;6.5;6.3;6.3;6.1;28.1;25.8;10.9;3.5;86.1;13.9;6.9;6.9;0.4;0.4;0.5;3.1;2.6;12;8;113109;3576;5526;65991;27595;12050;27781;9361;12562;12539;4464;1109; ; ; ; ;24.8;31.5;17.1;91790;89540;2250;435;43;594000;260000;40000;94000
Overijssel (PV);2008;1119994;559411;560583;6.3;6.6;6.3;6.3;6.1;27.6;26.2;11.1;3.6;86.1;13.9;6.9;7;0.4;0.4;0.5;3.1;2.6;11.9;8.1;113847;3530;5802;65586;26736;13023;28521;9777;12429;13269;4757;1111;1;22;47;31;25.8;33;17.8;89910;87470;2430;445;47;591000;258000;40000;93000
Overijssel (PV);2009;1125435;562419;563016;6.1;6.6;6.2;6.3;6.1;27.1;26.4;11.3;3.7;85.9;14.1;7;7.1;0.4;0.4;0.5;3.1;2.8;11.8;8.2;113977;3612;6136;65581;27780;12483;29446;10173;12240;16518;4673;1166;1;21;45;33;26.8;34.1;18.6;100210;97640;2570;453;51;574000;251000;34000;96000
Overijssel (PV);2010;1130345;564960;565385;6;6.6;6.3;6.3;6.2;26.7;26.7;11.5;3.8;85.8;14.2;7;7.2;0.4;0.4;0.5;3.1;2.9;11.6;8.2;113175;3703;6435;65879;28409;12325;30259;10356;12014;13763;4570;1170;1;21;44;34;27.2;34.5;19.3;101020;98490;2530;457;54;561000;239000;34000;91000
Overijssel (PV);2011;1134465;566903;567562;5.9;6.4;6.4;6.2;6.2;26.2;27;11.6;4;85.7;14.3;7;7.3;0.4;0.4;0.5;3.1;2.9;11.1;8.1;112239;3595;6627;66879;28170;12497;30633;10645;11836;14776;4786;1307;1;20;45;34;27.6;34.8;19.7;101420;98760;2660;463;57;565000;238000;33000;95000
Overijssel (PV);2012;1137668;568764;568904;5.8;6.3;6.5;6.1;6.2;25.9;27;12.1;4.1;85.6;14.4;7;7.4;0.4;0.4;0.5;3.1;3;10.9;8.3;110772;3472;6830;67941;28524;11630;30435;10366;12344;15068;4301;1197;1;20;44;35;28;35.3;20.1;108440;105780;2660;470;59;546000;224000;26000;99000
Overijssel (PV);2013;1139350;569690;569660;5.7;6.2;6.5;6.1;6.2;25.5;27;12.6;4.2;85.6;14.4;7;7.4;0.4;0.4;0.5;3.1;3.1;10.7;8.6;108912;3301;6673;69193;29537;10108;31547;10250;12605;14733;4523;1269;1;20;44;36;28.3;35.6;20.4;307420;111400;196020;472;60;527000;208000;22000;102000
Overijssel (PV);2014;1139697;570214;569483;5.6;6.1;6.6;6.1;6.2;25;27.2;13;4.3;85.5;14.5;7;7.5;0.4;0.4;0.5;3.1;3.1;10.6;8.4;107151;3182;6480;70151;30302;8581;31316;9982;13228;13809;4718;1307;1;19;45;35;28.7;36;20.9;312210;112150;200060;470;60;539000;196000;20000;116000
Overijssel (PV);2015;1140652;570894;569758;5.5;6;6.5;6.2;6.1;24.6;27.4;13.4;4.4;85.4;14.6;7;7.6;0.4;0.4;0.5;3;3.3;10.3;8.7;104829;2963;5972;71580;30445;8115;31310;9983;13611;12684;4589;1293;1;19;46;34;29.2;36.6;21.3;315260;111470;203790;473;62;544000;185000;21000;119000
Flevoland (PV);2006;370656;185120;185536;7.6;7.6;7.5;7.1;6.3;31.3;23.9;6.7;2.1;74.7;25.3;8.1;17.2;2.4;1.7;6.3;1.5;5.4;13.9;5.4;43704;1431;1087;24467;11360;3271;7779;1843;4613;4220;1272;250; ; ; ; ;26.6;33.6;18.8; ; ; ;679; ;207000;89000;14000;29000
Flevoland (PV);2007;374424;186980;187444;7.4;7.6;7.3;7.1;6.2;30.6;24.7;6.8;2.1;74.4;25.6;8.1;17.5;2.5;1.7;6.4;1.5;5.4;13.9;5.2;44089;1389;1111;25592;11163;3905;8065;1924;4761;4478;1308;189; ; ; ; ;27.4;34.7;19.3;30380;29480;900;716;34;210000;92000;15000;27000
Flevoland (PV);2008;378688;189171;189517;7.2;7.6;7.2;7.1;6.3;30;25.4;6.9;2.2;74.1;25.9;8.1;17.8;2.5;1.7;6.5;1.5;5.6;13.4;5.2;44089;1396;1257;25701;10879;4257;8282;2116;4588;4726;1232;212;2;14;56;29;28.8;36.6;20.3;30110;29170;950;751;39;210000;90000;15000;25000
Flevoland (PV);2009;383449;191912;191537;7;7.5;7.2;7.1;6.3;29.5;26;7.1;2.2;73.6;26.4;8.2;18.2;2.6;1.8;6.5;1.5;5.9;13.7;5.3;44083;1323;1375;25679;11134;4402;8798;2317;4644;5868;1224;238;2;13;55;30;29.8;37.7;21.2;34470;33450;1030;783;43;211000;91000;13000;27000
Flevoland (PV);2010;387881;194185;193696;6.9;7.4;7.1;7.1;6.3;29;26.6;7.3;2.3;73.1;26.9;8.2;18.7;2.6;1.8;6.6;1.5;6.1;13.6;5.4;43646;1355;1693;25928;11390;4296;9109;2300;4598;5013;1198;231;2;13;50;35;30.1;37.8;21.9;36140;35100;1040;777;48;198000;83000;10000;26000
Flevoland (PV);2011;391967;196064;195903;6.8;7.3;7.2;7;6.3;28.5;27.1;7.5;2.3;72.7;27.3;8.3;19;2.6;1.8;6.7;1.5;6.4;12.9;5.5;43396;1327;1884;26081;11551;4001;9281;2355;4450;5560;1259;299;2;12;51;35;30.5;38.1;22.3;37360;36260;1100;779;51;207000;84000;10000;27000
Flevoland (PV);2012;395525;197783;197742;6.7;7.1;7.2;6.8;6.4;28;27.3;8.1;2.4;72.3;27.7;8.5;19.3;2.7;1.8;6.7;1.6;6.5;12.6;5.6;43010;1296;1964;26383;11570;3640;9158;2196;4595;5512;1129;245;2;12;52;35;30.9;38.6;22.8;39650;38520;1130;801;52;205000;84000;11000;28000
Flevoland (PV);2013;398441;199314;199127;6.6;6.9;7.3;6.8;6.3;27.7;27.5;8.5;2.4;71.8;28.2;8.6;19.6;2.7;1.8;6.8;1.6;6.7;11.7;5.6;42397;1213;2035;26868;11866;3156;9599;2163;4827;5212;1126;239;2;12;54;32;31;38.6;23;86500;41070;45430;816;54;196000;81000;8000;27000
Flevoland (PV);2014;399893;199950;199943;6.4;6.8;7.2;6.8;6.3;27.2;27.8;9;2.5;71.5;28.5;8.7;19.8;2.7;1.8;6.8;1.6;6.8;12.3;5.3;41898;1159;1983;27218;12532;2436;9793;2156;4831;4824;1252;233;2;12;55;32;31.5;39.2;23.4;88510;41230;47280;804;56;199000;80000;8000;29000
Flevoland (PV);2015;401791;200949;200842;6.3;6.7;7.1;6.7;6.3;26.7;28.1;9.4;2.5;71.1;28.9;8.9;20;2.8;1.8;6.8;1.6;7;11.8;5.6;41463;1100;1944;27730;12329;2330;9830;2188;4945;4572;1210;273;2;12;55;31;32.2;40;23.9;89710;40740;48970;805;58;202000;77000;8000;30000
Gelderland (PV);2006;1975704;974987;1000717;6.1;6.3;6.3;6.2;5.7;28.2;26.7;10.9;3.5;86.3;13.7;7.5;6.2;1;0.4;0.6;1.9;2.4;11.2;8.3;194791;5874;9375;114889;43656;17949;40126;21777;21753;18702;6603;3362; ; ; ; ;25.8;32.9;17.7; ; ; ;442; ;1046000;414000;58000;203000
Gelderland (PV);2007;1979059;976475;1002584;6;6.4;6.3;6.3;5.7;27.6;27.2;11;3.6;86.3;13.7;7.5;6.2;1;0.4;0.6;1.9;2.4;10.7;8.1;195353;5757;9780;118113;42812;20404;40900;21838;21859;19386;6557;3054; ; ; ; ;26.5;34;18.2;147690;144390;3300;450;47;1065000;417000;54000;206000
Gelderland (PV);2008;1983869;978683;1005186;5.8;6.4;6.2;6.3;5.8;27;27.6;11.2;3.7;86.1;13.9;7.5;6.3;1;0.4;0.6;1.9;2.4;10.9;8.2;195741;5662;9899;117761;41926;22233;42244;22863;21607;20074;6501;3081;1;18;46;34;27.7;35.6;19.1;144370;140880;3490;447;50;1054000;412000;56000;201000
Gelderland (PV);2009;1991062;982641;1008421;5.6;6.4;6.2;6.3;5.8;26.4;28;11.5;3.8;86;14;7.6;6.4;1;0.4;0.6;1.9;2.5;10.7;8.2;194532;5649;10166;118225;42780;21823;44346;24194;21569;25118;6767;3344;1;17;46;36;28.7;36.7;19.9;159390;155730;3660;453;55;1032000;402000;49000;210000
Gelderland (PV);2010;1998936;986919;1012017;5.5;6.3;6.2;6.4;5.9;25.8;28.3;11.7;3.9;85.8;14.2;7.6;6.6;1;0.4;0.6;2;2.6;10.6;8.4;192223;5649;10601;118384;43682;21705;45770;25329;21443;22085;6933;3407;1;17;46;36;29.1;37;20.6;162070;158510;3560;458;59;1010000;385000;48000;202000
Gelderland (PV);2011;2004671;989383;1015288;5.4;6.1;6.3;6.3;6;25.3;28.6;11.9;4;85.8;14.2;7.6;6.6;1;0.4;0.6;2;2.6;10.2;8.3;188833;5566;10753;119587;43682;20866;46718;25806;21044;21960;7232;3870;1;16;46;36;29.4;37.3;21;163780;159950;3840;463;62;1019000;382000;48000;211000
Gelderland (PV);2012;2010745;992668;1018077;5.3;6;6.4;6.2;6;24.8;28.5;12.5;4.2;85.6;14.4;7.7;6.7;1;0.4;0.6;2;2.7;9.9;8.6;185124;5373;10935;121517;43780;19819;46721;25801;21924;23206;6632;3540;1;16;46;36;29.8;37.7;21.4;175090;171330;3760;469;64;992000;375000;44000;209000
Gelderland (PV);2013;2015791;995180;1020611;5.3;5.8;6.4;6.2;6.1;24.4;28.5;13.1;4.3;85.5;14.5;7.7;6.8;1;0.4;0.6;2;2.8;9.8;8.6;181207;5137;10848;123325;45048;16405;49165;26589;22350;22291;6990;3565;1;16;46;37;30.1;38;21.7;541260;182040;359230;472;65;954000;353000;39000;203000
Gelderland (PV);2014;2019692;997850;1021842;5.1;5.7;6.4;6.2;6.2;23.9;28.6;13.6;4.3;85.5;14.5;7.7;6.9;1.1;0.5;0.6;2;2.8;9.8;8.4;177448;4984;10866;124929;45979;13607;49668;27298;22895;20867;7154;3781;1;16;47;36;30.5;38.5;22.1;553350;184500;368850;473;65;962000;328000;37000;230000
Gelderland (PV);2015;2026578;1001922;1024656;5.1;5.5;6.3;6.2;6.2;23.5;28.8;14;4.5;85.3;14.7;7.7;7;1.1;0.5;0.6;2;2.9;9.6;8.8;174490;4510;10247;126383;46272;13219;49432;28000;23466;19284;7325;3595;1;16;48;35;31.1;39.2;22.6;560150;183070;377080;475;66;964000;311000;39000;231000
Utrecht (PV);2006;1180039;576277;603762;6.7;6.3;6;6.1;6.5;30.7;24.9;9.4;3.3;80.7;19.3;8.2;11.1;3.7;0.7;1.5;2.1;3.1;13;7.4;116662;3010;4833;66016;22566;8508;29073;25205;11864;9191;4823;3760; ; ; ; ;29.6;37.7;20.9; ; ; ;463; ;667000;290000;54000;95000
Utrecht (PV);2007;1190604;581749;608855;6.6;6.4;6;6.2;6.6;30.2;25.3;9.5;3.4;80.5;19.5;8.2;11.3;3.8;0.7;1.5;2.1;3.2;12.9;6.9;118367;2947;5147;67738;21867;9502;30235;25644;11956;9487;4811;3438; ; ; ; ;30.6;39;21.6;84970;82080;2900;464;38;685000;294000;52000;99000
Utrecht (PV);2008;1201350;587012;614338;6.5;6.5;5.9;6.2;6.6;29.8;25.6;9.6;3.4;80.3;19.7;8.2;11.4;3.8;0.7;1.5;2.1;3.3;12.8;7.2;119954;2911;5286;67529;21184;10326;30760;26181;11929;9747;5056;3545;0;12;55;33;32;40.9;22.7;82240;79120;3120;472;42;677000;293000;50000;95000
Utrecht (PV);2009;1210869;591859;619010;6.4;6.5;5.9;6.1;6.7;29.3;25.8;9.7;3.5;80.1;19.9;8.3;11.6;3.9;0.7;1.5;2.1;3.4;12.7;7.1;120772;2872;5365;68046;21450;10655;32068;27161;11716;11765;5136;3641;0;11;54;35;33.2;42.3;23.8;90250;86910;3340;483;47;658000;288000;45000;97000
Utrecht (PV);2010;1220910;596784;624126;6.3;6.5;5.9;6.1;6.8;28.8;26.1;9.9;3.5;79.8;20.2;8.4;11.8;3.9;0.7;1.5;2.1;3.5;12.6;7.2;121269;2835;5329;69078;21538;11635;32457;27632;11729;10868;5104;3878;0;11;54;35;33.7;42.5;24.6;91970;88570;3400;484;51;646000;280000;42000;95000
Utrecht (PV);2011;1228794;600525;628269;6.3;6.4;6;6;6.8;28.4;26.5;10;3.6;79.6;20.4;8.5;11.9;4;0.7;1.5;2.2;3.6;12;7.2;121041;2800;5351;70545;21422;10984;32371;27489;11915;11596;5450;4109;0;11;53;36;34;42.7;25.1;93960;90370;3590;487;54;655000;280000;42000;98000
Utrecht (PV);2012;1237117;605032;632085;6.2;6.3;6.1;5.9;6.8;28;26.4;10.6;3.7;79.4;20.6;8.5;12.1;4.1;0.7;1.5;2.2;3.7;12;7.2;120632;2799;5222;72047;21722;9759;31745;26688;12071;11253;4878;3475;0;11;54;36;34.6;43.3;25.6;99350;95840;3510;490;55;644000;277000;39000;99000
Utrecht (PV);2013;1245294;609345;635949;6.1;6.2;6.2;5.9;6.8;27.7;26.4;11;3.7;79.2;20.8;8.5;12.3;4.1;0.7;1.5;2.2;3.9;11.5;7.3;119579;2792;5168;74271;22403;8251;33384;27429;12848;11249;4833;3589;0;10;53;36;34.9;43.6;26;291590;102480;189120;499;55;621000;271000;34000;94000
Utrecht (PV);2014;1253672;613674;639998;6;6.1;6.3;5.9;6.8;27.3;26.5;11.4;3.8;78.9;21.1;8.6;12.5;4.2;0.7;1.5;2.2;4;11.8;7.2;118708;2741;5028;76125;22808;6697;34581;28400;13125;10276;4906;3753;0;10;54;36;35.5;44.4;26.6;298230;104010;194230;497;55;631000;271000;34000;97000
Utrecht (PV);2015;1263572;618888;644684;5.9;6;6.3;5.9;6.8;26.9;26.6;11.7;3.8;78.7;21.3;8.7;12.7;4.2;0.7;1.5;2.2;4.1;11.3;7.5;117905;2690;4936;78324;23149;6377;34065;28157;13857;9650;5274;3808;0;10;54;35;36.3;45.2;27.2;303110;104160;198950;500;56;630000;267000;34000;96000
Noord-Holland (PV);2006;2606584;1281597;1324987;6.1;5.9;5.8;5.6;5.6;30.8;26.3;10.1;3.7;73.5;26.5;10.5;16;3.4;0.9;3.8;2.8;5.2;11.7;8.1;238478;7141;8970;137664;48221;19746;53696;38747;25033;20664;8701;6057; ; ; ; ;28.6;35.9;20.8; ; ; ;393; ;1420000;737000;116000;159000
Noord-Holland (PV);2007;2613070;1284716;1328354;6;6;5.7;5.7;5.7;30.3;26.7;10.2;3.7;73.4;26.6;10.5;16.1;3.4;0.9;3.7;2.8;5.2;11.6;8;239925;6684;9297;142225;48080;22661;54858;39731;25295;22092;8759;5442; ; ; ; ;29.6;37.2;21.6;230090;221410;8680;400;43;1439000;730000;122000;158000
Noord-Holland (PV);2008;2626163;1291013;1335150;5.9;6;5.6;5.7;5.8;29.8;27.1;10.3;3.8;73;27;10.7;16.3;3.5;0.9;3.7;2.8;5.4;11.7;8.1;241382;6351;9329;141436;46654;23743;57270;42477;24882;22848;9053;5985;1;11;59;29;31;38.9;22.7;224250;215040;9210;413;49;1440000;727000;125000;159000
Noord-Holland (PV);2009;2646445;1301903;1344542;5.8;6;5.6;5.7;5.9;29.3;27.3;10.5;3.8;72.5;27.5;10.9;16.6;3.5;0.9;3.7;2.9;5.5;11.8;7.8;242472;6300;9157;142313;48067;23424;60564;45409;24752;27557;9170;5721;1;11;58;30;32.2;40.2;23.7;243830;234060;9770;416;57;1397000;697000;126000;159000
Noord-Holland (PV);2010;2669084;1313687;1355397;5.7;5.9;5.6;5.7;6;28.8;27.6;10.7;3.9;72.1;27.9;11;16.9;3.6;0.9;3.7;2.9;5.8;11.8;7.8;241203;6148;9041;144241;48431;24043;62394;47769;24552;24918;8752;7133;1;11;58;30;32.5;40.3;24.3;248470;238480;9990;413;63;1374000;686000;126000;151000
Noord-Holland (PV);2011;2691477;1324310;1367167;5.7;5.8;5.7;5.7;6.2;28.4;27.8;10.8;3.9;71.7;28.3;11.2;17.1;3.6;0.9;3.7;2.9;5.9;11.2;7.8;240157;5961;9020;146714;49504;22357;63841;48481;24221;25114;9708;8124;1;10;58;30;32.8;40.6;24.7;252190;241460;10730;414;68;1397000;697000;127000;154000
Noord-Holland (PV);2012;2709822;1333811;1376011;5.7;5.7;5.7;5.6;6.2;28.1;27.6;11.4;4;71.3;28.7;11.3;17.3;3.7;0.9;3.7;2.9;6.1;11;8.1;238588;5517;8856;150193;50347;20197;63313;46661;24955;26010;8469;6920;1;10;58;31;33.3;41.2;25.2;262050;251290;10760;415;70;1358000;690000;114000;156000
Noord-Holland (PV);2013;2724300;1340874;1383426;5.6;5.6;5.8;5.5;6.3;27.8;27.5;11.9;4;71;29;11.5;17.5;3.7;0.9;3.7;3;6.2;10.7;8.1;236564;5207;9045;153077;51722;17439;67068;48696;25662;25743;9220;7125;1;10;59;30;33.7;41.4;25.7;710200;264410;445790;416;72;1313000;679000;95000;148000
Noord-Holland (PV);2014;2741369;1349648;1391721;5.5;5.5;5.8;5.5;6.3;27.5;27.5;12.4;4;70.7;29.3;11.6;17.7;3.7;0.9;3.7;3;6.4;10.9;7.9;235003;4933;9120;155758;52476;14422;67426;48942;26875;24370;10001;7667;1;10;60;29;34.2;42.1;26.2;723710;266810;456900;414;73;1335000;679000;98000;151000
Noord-Holland (PV);2015;2761929;1360069;1401860;5.4;5.5;5.7;5.5;6.3;27.2;27.6;12.7;4.1;70.2;29.8;11.9;17.9;3.8;0.9;3.6;2.9;6.6;10.6;8.3;233476;4790;8890;157855;52871;13580;66075;48244;28080;22008;10386;7253;1;10;61;29;35;43;26.8;728460;262090;466370;413;74;1314000;671000;82000;146000
Zuid-Holland (PV);2006;3458875;1703562;1755313;6.1;6;6.1;6.2;6.3;29.6;25.7;10.3;3.8;73.9;26.1;9.1;17;2.9;1.5;4.1;3.4;5.1;11.7;8.4;322794;9547;11456;192828;74459;29212;73790;50459;35611;30752;11785;6859; ; ; ; ;27.7;35.2;19.5; ; ; ;394; ;1902000;1008000;211000;177000
Zuid-Holland (PV);2007;3455097;1701319;1753778;6;6;6;6.2;6.2;29.2;26.2;10.4;3.9;73.6;26.4;9.2;17.2;2.9;1.5;4.1;3.5;5.1;11.4;8.4;322593;9075;11945;197556;74097;32435;75226;51217;35927;32510;11590;6969; ; ; ; ;28.5;36.3;20.1;270850;257920;12940;401;42;1873000;994000;179000;180000
Zuid-Holland (PV);2008;3461435;1704710;1756725;5.8;6;5.9;6.2;6.3;28.7;26.6;10.5;3.9;73.3;26.7;9.3;17.4;3;1.6;4.1;3.5;5.2;11.8;8.3;323077;8767;12248;195689;72572;34202;78178;53124;35859;32868;12717;7120;2;14;51;33;29.8;38;21.1;262310;248190;14120;408;47;1885000;991000;190000;177000
Zuid-Holland (PV);2009;3481558;1716204;1765354;5.8;6;5.9;6.2;6.4;28.3;26.9;10.6;4;72.7;27.3;9.6;17.7;3;1.6;4.1;3.6;5.4;11.8;8.2;322777;8317;12410;194784;73887;33322;81858;56083;34414;38044;12309;7251;2;13;50;35;31;39.4;22;289860;274870;14990;412;53;1879000;1004000;177000;178000
Zuid-Holland (PV);2010;3505611;1729071;1776540;5.8;5.9;5.8;6.2;6.4;28;27.1;10.8;4;72.2;27.8;9.7;18.1;3.1;1.6;4.2;3.6;5.6;11.8;8.2;321674;8138;12436;195185;75961;32445;84639;58933;33826;34862;11694;8027;2;13;50;36;31.5;39.7;22.8;301640;286250;15390;414;59;1837000;974000;174000;177000
Zuid-Holland (PV);2011;3528324;1740855;1787469;5.8;5.8;5.8;6.1;6.5;27.6;27.4;10.8;4.1;71.7;28.3;9.9;18.4;3.1;1.7;4.2;3.7;5.8;11.7;8;319714;7981;12847;196613;76092;31087;85956;59156;33679;36298;12116;9068;2;13;50;35;31.7;39.9;23.1;308050;291910;16140;417;63;1815000;956000;162000;176000
Zuid-Holland (PV);2012;3552407;1753393;1799014;5.8;5.7;5.9;6;6.6;27.3;27.2;11.4;4.2;71.1;28.9;10.2;18.7;3.2;1.7;4.2;3.7;5.9;11.5;8.3;317615;7638;12887;198696;77127;29474;85504;60242;34881;37205;11072;7895;2;13;50;36;32.3;40.5;23.6;324060;308250;15810;421;66;1773000;946000;149000;178000
Zuid-Holland (PV);2013;3563935;1758081;1805854;5.8;5.7;5.9;5.9;6.6;27;27.1;11.9;4.2;70.8;29.2;10.3;18.9;3.2;1.7;4.2;3.7;6.1;11;8.2;315629;7291;13428;200440;79455;25323;88598;62926;35011;36346;11069;8348;2;13;50;36;32.6;40.9;24;916540;328030;588520;420;67;1691000;908000;138000;169000
Zuid-Holland (PV);2014;3577032;1764927;1812105;5.7;5.6;5.9;5.9;6.6;26.7;27.1;12.3;4.3;70.5;29.5;10.4;19.1;3.3;1.7;4.2;3.7;6.2;11.4;8;314043;7153;13512;202772;81166;20888;89423;63709;36147;35248;11520;8259;2;12;51;35;33.1;41.5;24.4;939110;336720;602380;418;68;1701000;913000;137000;174000
Zuid-Holland (PV);2015;3600011;1776412;1823599;5.6;5.6;5.8;5.9;6.6;26.4;27.1;12.6;4.3;70.1;29.9;10.7;19.3;3.3;1.8;4.1;3.7;6.4;10.9;8.4;314273;6857;13259;204639;81072;19576;89139;65290;36814;32428;11966;8361;2;12;52;34;33.7;42.1;24.9;952350;338390;613960;417;69;1708000;903000;140000;173000
Zeeland (PV);2006;380186;188208;191978;5.6;6.2;6.2;5.8;5;26.1;27.9;12.3;4.8;85.1;14.9;10.3;4.6;0.5;0.5;0.7;0.8;2.1;10;9.5;35940;884;994;21283;7987;4472;5372;967;4115;3611;983;117; ; ; ; ;25;32.4;16.5; ; ; ;446; ;275000;96000;18000;44000
Zeeland (PV);2007;380497;188485;192012;5.5;6.1;6.2;5.8;5;25.7;28.3;12.5;4.9;85;15;10.4;4.6;0.6;0.5;0.7;0.8;2.1;9.9;9.3;35718;885;1020;21957;7892;4890;5328;1044;4256;3982;884;104; ; ; ; ;25.7;33.4;16.9;25450;24910;540;454;50;286000;97000;19000;45000
Zeeland (PV);2008;380585;188656;191929;5.3;6.1;6.1;5.9;5;25.4;28.6;12.7;5;84.9;15.1;10.5;4.6;0.6;0.5;0.7;0.8;2.1;10.3;9.6;35282;882;1088;21909;7695;5175;5514;1099;4240;4119;954;120;2;21;44;33;26.8;34.9;17.7;24670;24110;560;464;54;277000;94000;19000;43000
Zeeland (PV);2009;380984;188965;192019;5.2;6;6.2;5.9;5;24.8;28.9;13;5;84.7;15.3;10.6;4.7;0.6;0.5;0.7;0.8;2.1;9.8;9.2;34754;919;1140;21865;7857;5434;5731;1175;4232;4980;916;95;2;20;44;34;27.8;36.1;18.5;27090;26490;600;473;57;282000;94000;18000;44000
Zeeland (PV);2010;381409;189184;192225;5.1;5.9;6.1;6;4.9;24.4;29.1;13.4;5.2;84.5;15.5;10.7;4.8;0.6;0.5;0.7;0.8;2.2;9.7;9.8;33922;913;1204;21868;7984;5235;5814;1174;4050;4278;955;119;2;20;44;34;28.2;36.5;19.1;27420;26840;580;480;60;280000;94000;18000;41000
Zeeland (PV);2011;381530;189184;192346;5;5.7;6.2;5.8;5;23.9;29.2;13.7;5.3;84.3;15.7;10.8;4.9;0.6;0.5;0.7;0.9;2.3;9.9;9.6;33172;922;1261;21990;7828;5192;5874;1108;4145;4713;921;127;2;20;45;33;28.5;36.8;19.4;27270;26660;610;487;63;285000;93000;19000;42000
Zeeland (PV);2012;381407;189181;192226;5;5.6;6.2;5.9;5;23.5;29;14.5;5.4;84.1;15.9;11;4.9;0.6;0.5;0.7;0.8;2.3;9.5;9.8;32416;901;1302;22028;7723;4374;5889;1072;4216;4477;843;89;2;21;44;33;29;37.4;19.8;28350;27760;580;495;64;276000;93000;15000;42000
Zeeland (PV);2013;381077;188882;192195;5;5.4;6.1;5.8;5;23.1;28.9;15.1;5.4;83.8;16.2;11.2;4.9;0.6;0.5;0.7;0.8;2.3;9.2;10;31654;853;1373;22015;7914;3527;6226;1080;4161;4088;893;122;2;20;44;33;29.3;37.8;20.2;109160;29400;79760;500;64;262000;91000;14000;39000
Zeeland (PV);2014;380621;188674;191947;4.9;5.3;6.1;5.8;5.1;22.7;28.9;15.7;5.5;83.5;16.5;11.4;5;0.6;0.5;0.7;0.8;2.4;9.6;9.3;30879;827;1428;21940;7994;3182;6216;1115;4257;3865;962;125;2;20;44;34;29.9;38.7;20.6;111440;29860;81580;503;64;268000;90000;14000;43000
Zeeland (PV);2015;380726;188718;192008;4.9;5.2;6;5.8;5.1;22.3;29;16.2;5.6;83.2;16.8;11.7;5.1;0.6;0.5;0.7;0.8;2.6;9.5;10.3;30385;758;1396;21928;7932;2871;6350;1242;4430;3696;974;113;2;19;46;33;30.3;39.2;20.9;113130;30350;82780;506;66;270000;89000;14000;42000
Noord-Brabant (PV);2006;2415946;1205186;1210760;5.8;6.1;6.2;6;5.7;28.7;27.2;11.1;3.1;84.9;15.1;7.8;7.3;1.5;0.6;0.8;2;2.4;10.8;7.9;228254;7064;9987;138780;48192;22708;54398;21872;25830;21428;9012;3298; ; ; ; ;26.2;33.5;17.7; ; ; ;478; ;1408000;478000;99000;214000
Noord-Brabant (PV);2007;2419042;1206775;1212267;5.7;6.1;6.1;6.1;5.7;28.2;27.6;11.3;3.3;84.8;15.2;7.8;7.4;1.5;0.6;0.8;2;2.5;10.5;7.9;228016;6950;10317;141924;47191;25707;54923;21810;26368;22583;9071;2994; ; ; ; ;27;34.6;18.2;183210;178880;4330;486;46;1446000;480000;99000;222000
Noord-Brabant (PV);2008;2424827;1209825;1215002;5.5;6.1;6;6.1;5.7;27.6;28;11.5;3.4;84.6;15.4;7.9;7.5;1.6;0.6;0.8;2;2.5;10.7;8;227043;6803;10721;140571;46888;27111;56116;22373;26331;23235;9144;3121;1;21;50;28;28.2;36.2;19.2;178860;174110;4750;496;50;1405000;489000;90000;215000
Noord-Brabant (PV);2009;2434560;1215158;1219402;5.4;6;6;6.1;5.8;27;28.3;11.8;3.5;84.3;15.7;8.1;7.6;1.6;0.6;0.8;2;2.6;10.5;7.9;224935;6596;10933;140310;48731;28684;59510;23263;25626;30620;9065;3076;1;20;49;30;29.2;37.5;20;199430;194380;5050;504;54;1379000;469000;84000;208000
Noord-Brabant (PV);2010;2444158;1219904;1224254;5.3;5.9;6;6.2;5.8;26.5;28.6;12.1;3.6;84;16;8.2;7.8;1.6;0.6;0.8;2;2.8;10.4;8;222129;6369;11086;140793;49651;27276;62073;23993;25582;26638;9428;3623;1;19;49;30;29.7;37.9;20.7;201010;196000;5010;507;59;1351000;453000;77000;197000
