province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16829289,8334385,8494904,5.3,5.6,6,5.9,6.3,25.5,28,13.1,4.3,78.6,21.4,9.5,11.9,10.4,8.3,44808,37862,10454,6813,39286,178907,167790,64104,36573,31.7,39.6,23.4,4935170,1632040,3302920
Groningen,582728,289820,292908,4.8,4.9,5.5,6.3,8.9,24.8,27.1,13.2,4.4,86,14,7.7,6.4,9.3,9.1,1695,1539,395,233,1463,5543,6368,3183,2183,28.6,34.6,22.2,170260,66280,103980
Friesland,646317,323242,323075,5.2,5.7,6.4,6.2,5.7,23.4,28.3,14.4,4.6,91.2,8.8,5,3.9,9.8,8.9,1925,1656,415,269,1518,7482,8178,2213,297,27.7,34.3,20.6,188740,64150,124590
Drenthe,488988,242230,246758,4.8,5.6,6.5,5.9,4.6,22.3,29.9,15.4,5,90.8,9.2,5.7,3.5,8.8,9.4,1495,1279,343,247,1253,6033,5517,1132,168,28.8,36.3,21,152510,50910,101600
Overijssel,1139697,570214,569483,5.6,6.1,6.6,6.1,6.2,25,27.2,13,4.3,85.5,14.5,7,7.5,10.6,8.4,3071,2619,772,469,2692,13228,13809,4718,1307,28.7,36,20.9,312210,112150,200060
Flevoland,399893,199950,199943,6.4,6.8,7.2,6.8,6.3,27.2,27.8,9,2.5,71.5,28.5,8.7,19.8,12.3,5.3,722,566,140,118,590,4831,4824,1252,233,31.5,39.2,23.4,88510,41230,47280
Gelderland,2019692,997850,1021842,5.1,5.7,6.4,6.2,6.2,23.9,28.6,13.6,4.3,85.5,14.5,7.7,6.9,9.8,8.4,5532,4695,1366,770,4663,22895,20867,7154,3781,30.5,38.5,22.1,553350,184500,368850
Utrecht,1253672,613674,639998,6,6.1,6.3,5.9,6.8,27.3,26.5,11.4,3.8,78.9,21.1,8.6,12.5,11.8,7.2,2890,2401,691,487,2618,13125,10276,4906,3753,35.5,44.4,26.6,298230,104010,194230
Noord-Holland,2741369,1349648,1391721,5.5,5.5,5.8,5.5,6.3,27.5,27.5,12.4,4,70.7,29.3,11.6,17.7,10.9,7.9,6840,5698,1519,1112,6448,26875,24370,10001,7667,34.2,42.1,26.2,723710,266810,456900
Zuid-Holland ,3577032,1764927,1812105,5.7,5.6,5.9,5.9,6.6,26.7,27.1,12.3,4.3,70.5,29.5,10.4,19.1,11.4,8,9149,7656,2130,1446,8343,36147,35248,11520,8259,33.1,41.5,24.4,939110,336720,602380
Zeeland,380621,188674,191947,4.9,5.3,6.1,5.8,5.1,22.7,28.9,15.7,5.5,83.5,16.5,11.4,5,9.6,9.3,1131,1055,215,144,987,4257,3865,962,125,29.9,38.7,20.6,111440,29860,81580
Noord-Brabant,2479274,1238668,1240606,5,5.4,6,6,6.1,24.8,28.8,13.7,4.2,83,17,8.7,8.3,9.8,8.4,6804,5652,1601,1038,5728,27316,23768,10477,3704,31.3,39.7,22.3,674340,220390,453940
Limburg,1120006,555488,564518,4.2,4.5,5.4,5.6,6,22.5,31.3,15.6,5,79.3,20.7,14.6,6.1,7.9,9.8,3554,3046,867,480,2983,10865,10136,3798,1825,28.8,36,21.2,358400,124590,233810
