province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16405399,8112073,8293326,5.8,6.2,6,6.1,6,28,27.3,11,3.8,80.4,19.6,8.8,10.8,11.2,8.2,41874,40129,13789,5415,33929,171217,161752,61703,28773,28.6,36.4,20.1,1321200,1267850,42730
Groningen,573459,284678,288781,5.1,5.6,5.5,6.3,8,27.3,27,11,4.2,87.6,12.4,6.8,5.5,10.3,9.2,1596,1649,539,195,1299,5167,6023,3108,1996,25.5,31.4,18.9,54960,54170,790
Friesland,643189,321102,322087,5.8,6.4,6.2,6.2,5.7,26.3,27.6,11.6,4,91.8,8.2,4.7,3.5,10.9,8.7,1794,1680,515,222,1363,7007,7352,2430,225,25.2,31.9,17.6,49750,49150,600
Drenthe,488135,241209,246926,5.5,6.4,6.2,5.9,4.7,25.3,29.1,12.6,4.3,91.4,8.6,5.6,3,10,9.2,1429,1363,422,138,1161,5123,5466,1154,122,26,33.1,18.1,42050,41600,450
Overijssel,1119994,559411,560583,6.3,6.6,6.3,6.3,6.1,27.6,26.2,11.1,3.6,86.1,13.9,6.9,7,11.9,8.1,2825,2672,1054,378,2181,12429,13269,4757,1111,25.8,33,17.8,89910,87470,2430
Flevoland,378688,189171,189517,7.2,7.6,7.2,7.1,6.3,30,25.4,6.9,2.2,74.1,25.9,8.1,17.8,13.4,5.2,630,610,202,86,441,4588,4726,1232,212,28.8,36.6,20.3,30110,29170,950
Gelderland,1983869,978683,1005186,5.8,6.4,6.2,6.3,5.8,27,27.6,11.2,3.7,86.1,13.9,7.5,6.3,10.9,8.2,5104,4984,1694,632,3938,21607,20074,6501,3081,27.7,35.6,19.1,144370,140880,3490
Utrecht,1201350,587012,614338,6.5,6.5,5.9,6.2,6.6,29.8,25.6,9.6,3.4,80.3,19.7,8.2,11.4,12.8,7.2,2632,2540,871,365,2235,11929,9747,5056,3545,32,40.9,22.7,82240,79120,3120
Noord-Holland,2626163,1291013,1335150,5.9,6,5.6,5.7,5.8,29.8,27.1,10.3,3.8,73,27,10.7,16.3,11.7,8.1,6514,6048,2030,963,5744,24882,22848,9053,5985,31,38.9,22.7,224250,215040,9210
Zuid-Holland ,3461435,1704710,1756725,5.8,6,5.9,6.2,6.3,28.7,26.6,10.5,3.9,73.3,26.7,9.3,17.4,11.8,8.3,8780,8405,2921,1093,7520,35859,32868,12717,7120,29.8,38,21.1,262310,248190,14120
Zeeland,380585,188656,191929,5.3,6.1,6.1,5.9,5,25.4,28.6,12.7,5,84.9,15.1,10.5,4.6,10.3,9.6,1066,1127,353,128,981,4240,4119,954,120,26.8,34.9,17.7,24670,24110,560
Noord-Brabant,2424827,1209825,1215002,5.5,6.1,6,6.1,5.7,27.6,28,11.5,3.4,84.6,15.4,7.9,7.5,10.7,8,6210,5834,2077,785,4540,26331,23235,9144,3121,28.2,36.2,19.2,178860,174110,4750
Limburg,1123705,556603,567102,4.6,5.4,5.6,6,5.4,25.4,30.4,13.2,4,80.4,19.6,14.3,5.3,8.4,9.4,3294,3217,1111,430,2526,11642,10997,3595,1326,25.8,32.8,18.1,111470,109310,2160
