province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16900726,8372858,8527868,5.3,5.5,6,5.9,6.3,25.1,28.1,13.4,4.3,78.3,21.7,9.6,12.1,10.1,8.7,45790,39379,12681,7253,42031,183512,154373,65446,37206,32.3,40.3,23.9,4995390,1622470,3372840
Groningen,583942,290840,293102,4.7,4.9,5.4,6.3,9,24.5,27.2,13.6,4.5,85.7,14.3,7.7,6.7,9.1,9.4,1725,1535,446,222,1553,5660,5886,3211,2132,29.1,35,22.7,171360,65820,105540
Friesland,646257,323398,322859,5.1,5.7,6.4,6.2,5.7,22.9,28.5,14.8,4.7,91,9,5,4,9.3,9.4,1937,1683,464,278,1697,7765,7296,2222,233,28.4,35.1,21.2,189980,63130,126840
Drenthe,488576,242262,246314,4.7,5.5,6.4,6,4.6,21.8,30.1,15.8,5.2,90.7,9.3,5.7,3.6,8.2,10.2,1554,1368,428,242,1383,5942,5063,1048,207,29.4,36.9,21.6,153820,50280,103540
Overijssel,1140652,570894,569758,5.5,6,6.5,6.2,6.1,24.6,27.4,13.4,4.4,85.4,14.6,7,7.6,10.3,8.7,3165,2672,942,473,2733,13611,12684,4589,1293,29.2,36.6,21.3,315260,111470,203790
Flevoland,401791,200949,200842,6.3,6.7,7.1,6.7,6.3,26.7,28.1,9.4,2.5,71.1,28.9,8.9,20,11.8,5.6,728,589,180,128,635,4945,4572,1210,273,32.2,40,23.9,89710,40740,48970
Gelderland,2026578,1001922,1024656,5.1,5.5,6.3,6.2,6.2,23.5,28.8,14,4.5,85.3,14.7,7.7,7,9.6,8.8,5584,4855,1684,878,4889,23466,19284,7325,3595,31.1,39.2,22.6,560150,183070,377080
Utrecht,1263572,618888,644684,5.9,6,6.3,5.9,6.8,26.9,26.6,11.7,3.8,78.7,21.3,8.7,12.7,11.3,7.5,2872,2538,805,521,2748,13857,9650,5274,3808,36.3,45.2,27.2,303110,104160,198950
Noord-Holland,2761929,1360069,1401860,5.4,5.5,5.7,5.5,6.3,27.2,27.6,12.7,4.1,70.2,29.8,11.9,17.9,10.6,8.3,7089,5931,1857,1294,6861,28080,22008,10386,7253,35,43,26.8,728460,262090,466370
Zuid-Holland ,3600011,1776412,1823599,5.6,5.6,5.8,5.9,6.6,26.4,27.1,12.6,4.3,70.1,29.9,10.7,19.3,10.9,8.4,9368,7889,2561,1526,8941,36814,32428,11966,8361,33.7,42.1,24.9,952350,338390,613960
Zeeland,380726,188718,192008,4.9,5.2,6,5.8,5.1,22.3,29,16.2,5.6,83.2,16.8,11.7,5.1,9.5,10.3,1174,1103,295,156,1202,4430,3696,974,113,30.3,39.2,20.9,113130,30350,82780
Noord-Brabant,2488751,1243856,1244895,5,5.3,5.9,6,6.1,24.4,28.9,14.1,4.3,82.7,17.3,8.9,8.5,9.4,8.8,6990,5922,1964,1034,6029,27640,22261,10610,3870,31.9,40.4,22.7,683930,219420,464510
Limburg,1117941,554650,563291,4.1,4.4,5.3,5.6,6,22.1,31.2,16.1,5.1,79.1,20.9,14.6,6.3,7.8,10.6,3604,3294,1055,501,3360,10943,8964,3797,1672,29.3,36.6,21.7,361430,123260,238170
