province,population/total,population/male,population/female,population/from0to4,population/from5to10,population/from11to15,population/from16to20,population/from21to25,population/from26to45,population/from46to65,population/from66to80,population/from81,migration/dutch,migration/non-dutch,migration/western,migration/non-western,birthsanddeaths/births,birthsanddeaths/deaths,causesofdeath/growths,causesofdeath/heart,causesofdeath/respiratory,causesofdeath/external,causesofdeath/other,education/total,education/mbo,education/hbo,education/wo,income/total,income/male,income/female,socialsecurity/benefits,socialsecurity/untilAOW,socialsecurity/fromAOW
Nederland,16779575,8307339,8472236,5.4,5.7,6.1,5.9,6.3,25.8,28,12.6,4.2,78.9,21.1,9.4,11.7,10.2,8.4,44213,38490,12282,6447,39813,172708,178176,60913,34589,31.2,39,22.9,4834190,1611650,3222150
Groningen,581705,289275,292430,4.9,5,5.5,6.2,8.8,25.2,27.2,12.8,4.3,86.3,13.7,7.6,6.2,9.1,9.3,1679,1533,452,251,1472,5243,6478,3052,2149,28.1,34,21.7,166880,64960,101910
Friesland,646862,323442,323420,5.3,5.9,6.4,6.1,5.7,23.9,28.2,13.9,4.5,91.3,8.7,5,3.8,9.7,9.2,1817,1636,544,261,1679,7134,8257,2123,272,27.3,33.9,20.2,185530,63850,121680
Drenthe,489918,242757,247161,5,5.7,6.5,5.9,4.6,22.8,29.8,14.8,4.9,90.9,9.1,5.6,3.4,8.5,9.8,1553,1348,402,215,1271,5604,5681,1124,211,28.4,35.8,20.6,149560,50320,99240
Overijssel,1139350,569690,569660,5.7,6.2,6.5,6.1,6.2,25.5,27,12.6,4.2,85.6,14.4,7,7.4,10.7,8.6,2964,2683,946,431,2729,12605,14733,4523,1269,28.3,35.6,20.4,307420,111400,196020
Flevoland,398441,199314,199127,6.6,6.9,7.3,6.8,6.3,27.7,27.5,8.5,2.4,71.8,28.2,8.6,19.6,11.7,5.6,748,582,194,124,599,4827,5212,1126,239,31,38.6,23,86500,41070,45430
Gelderland,2015791,995180,1020611,5.3,5.8,6.4,6.2,6.1,24.4,28.5,13.1,4.3,85.5,14.5,7.7,6.8,9.8,8.6,5360,4849,1552,798,4767,22350,22291,6990,3565,30.1,38,21.7,541260,182040,359230
Utrecht,1245294,609345,635949,6.1,6.2,6.2,5.9,6.8,27.7,26.4,11,3.7,79.2,20.8,8.5,12.3,11.5,7.3,2845,2411,805,488,2552,12848,11249,4833,3589,34.9,43.6,26,291590,102480,189120
Noord-Holland,2724300,1340874,1383426,5.6,5.6,5.8,5.5,6.3,27.8,27.5,11.9,4,71,29,11.5,17.5,10.7,8.1,6854,5753,1690,1096,6633,25662,25743,9220,7125,33.7,41.4,25.7,710200,264410,445790
Zuid-Holland ,3563935,1758081,1805854,5.8,5.7,5.9,5.9,6.6,27,27.1,11.9,4.2,70.8,29.2,10.3,18.9,11,8.2,9214,7842,2414,1304,8474,35011,36346,11069,8348,32.6,40.9,24,916540,328030,588520
Zeeland,381077,188882,192195,5,5.4,6.1,5.8,5,23.1,28.9,15.1,5.4,83.8,16.2,11.2,4.9,9.2,10,1168,1171,274,148,1066,4161,4088,893,122,29.3,37.8,20.2,109160,29400,79760
Noord-Brabant,2471011,1234038,1236973,5.2,5.5,6.1,6,6,25.2,28.8,13.3,4.1,83.3,16.7,8.6,8.2,9.5,8.3,6585,5579,1913,895,5573,26076,25413,9634,3626,30.8,39.1,21.8,660750,219140,441610
Limburg,1121891,556461,565430,4.2,4.6,5.5,5.6,6,22.8,31.3,15.1,4.8,79.5,20.5,14.6,5.9,8,9.9,3426,3103,1096,436,2998,10837,11364,3651,1841,28.4,35.5,20.8,351610,123610,228000
